SKU,Name
SAF-2XEB1A21,"Kit supraveghere video 2 camere, complet, FULL HD, IR 20m, DVR cu AI Safer Dahua"
KITSAF2X-5MP80F36-A,"Kit de supraveghere pentru exterior, 2 camere 8MP, IR 40m si DVR 4 canale, Dahua KITSAF2X-5MP80F36-A"
KITSAF2X-2MP2028U-HDD,"Kit de supraveghere pentru exterior, 2 camere bullet, 2MP, DVR 4 canale, Alimentator, HDD inclus, Dahua KITSAF2X-2MP2028U-HDD"
KITSAF2X-PRO-5MP8036HDD,"Kit de supraveghere video pentru exterior, 2 camere, 2 MP, IR 80 m, Safer, DVR 4 canale, HDD 1TB Hikvision, KITSAF2X-PRO-5MP8036HDD"
SAF-2XFHDIR40ACC-2,"Kit de supraveghere video Full HD, ColorVu LED 20 de metri, 2.8mm, Microfon si DVR4 canale, Hikvision SAF-2XFHDIR40ACC"
DH-2E52-AA,"Sistem supraveghere 2 camere exterior 5 MP, IR 40m + DVR 4 canale, Safer DH-2E52-AA"
SAF-2XFHDINT20ACC,"Kit supraveghere video Hikvision, 2 camere, 2 MP, IR 30m, DVR 4 canale, SAF-2XFHDINT20ACC"
KITSAF-2X-5MP28L40,"Kit supraveghere pentru exterior, 2 camere 5MP, Starlight, LED 40m, DVR 4 canale, pana la 8MP, Safer KITSAF-2X-5MP28L40"
KITIP-2X-4MP420,"Kit de supraveghere video IP de exterior, 2 camere 4 MP, IR 20 m, NVR 4 canale, Safer, KITIP-2X-4MP420"
SAF-2XFHDIR40ACC,"Kit supraveghere video SAFER, 2 Camere 2 MP FULL HD, IR 80 m, DVR 4 canale FULL HD, SAF-2XFHDIR40ACC"
SAF-KITIPC2INTP2K,"Kit de supraveghere Full HD, 2.8mm, Iluminare Duala 30m, Audio, PoE, NVR 4 canale, Safer SAF-KITIPC2INTP2K"
KIT2EFULL2X1200D,"Kit cu accesorii, 2 camere exterior, Full HD, cu toate accesoriile"
SAF2E22-1TB-SHQ-DH,"Kit supraveghere video 2 camere, complet, FULL HD, IR 20m, 1 x HDD, SAF2E22-1TB-SHQ-DH"
SAF-2XFHDIR40ACC-1TB-1,"Kit supraveghere video, DVR Full HD, cu 2 camere tip bullet, smart IR 40m, Hikvision SAF-2XFHDIR40ACC-1TB"
KITSAF2X-5MP80F36-A-ACC,"Kit de supraveghere pentru exterior, 2 camere bullet, Starlight, 5MP, DVR 4 canale, Functii AI, Accesorii incluse, Safer KITSAF2X-5MP80F36-A-ACC"
SAF-2EXTFHDIR30-1-TW,"Kit supraveghere video 2 camere, complet, FULL HD, IR 80m, 1 x HDD, SAF-2EXTFHDIR30-1-TW"
SAF-2XFHDIR40ACC-1TB,"Kit complet supraveghere video SAFER, 2 Camere 2 MP FULL HD, IR 30 m, HDD 1TB, DVR 4 canale FULL HD, SAF-2XFHDIR40ACC-1TB"
SAF2INT22-1TB-SHQ-CC-TW,"Kit complet supraveghere interior 2 camere Full HD, SAF2INT22-1TB-SHQ-CC-TW"
KITSAF-2X-5MPL40-ACC,"Kit de supraveghere pentru exterior, 2 camere Starlight, 5MP, DVR 4 canale, Accesorii incluse, Safer KITSAF-2X-5MPL40-ACC"
SAF-2XEXTFHDIR30,"Kit supraveghere video 2 camere, complet, FULL HD, IR 80m, 3.6 mm, 1 x HDD SAF-2XEXTFHDIR30"
KIT2EFHD-TW,"Kit complet 2 camere supraveghere video pentru exterior, 2K 5MP, 3.6mm, IR80m, Audio, Functii AI, KIT2EFHD-TW"
KITFULL2X5MP80M-TW,"Kit complet 2 camere supraveghere video 5MP exterior, KITFULL2X5MP80M-TW"
KITPOE2MPMIXT,"Kit pentru supraveghere video IP, 2K 4MP, PoE, IR 60 metri, NVR 4 canale, KITPOE2MPMIXT"
KITITP1,Kit supraveghere Statie ITP 2 camere ordin Nr.1319/2016
KITACC4-1,Kit accesorii sisteme de supraveghere 4 camere
KITSAF4X-5MP2028U,"Kit de supraveghere video pentru exterior, 4 camere 5 MP, IR 20 m, DVR 4 canale, Safer, KITSAF4X-5MP2028U"
KITSAF4X-PRO-5MP8036,"Kit de supraveghere video pentru exterior, 4 camere, 2 MP, IR 80 m, Safer, NVR 4 canale, Hikvision, KITSAF4X-PRO-5MP8036"
KIT2MPEXT-SAF-I2,"Kit supraveghere video pentru exterior, 2MP FULL HD, IR 40m, lentila 2.8mm, DVR 4 canale, Safer KIT2MPEXT-SAF-I2"
KITSAF4X-5MP2028UMX,"Kit camere supraveghere profesionale, 4 camere, 5 MP, IR 20 m, DVR 4 canale, Safer, KITSAF4X-5MP2028UMX"
KITDAH2MP20EXTACC,"Kit camere supraveghere exterior profesionale, 2MP FullHD, IR 20M, DVR 4 canale, recunoastere faciala, KITDAH2MP20EXTACC"
KIT4MIXTSAF,"Sistem supraveghere mixt 4 camere, Full HD, cu DVR 4 canale, KIT4MIXTSAF"
KITSAF-4X-5MP28I40,"Kit de supraveghere video de exterior, 4 camere 5 MP, IR 40 m, DVR 4 canale, Safer KITSAF-4X-5MP28I40"
KIT2E2IFHDMIXT-P-1,"Kit supraveghere mixt complet, 4 camere FULL HD, IR 20m, KIT2E2IFHDMIXT-P-1"
KITSAF-4X-8MP28I20,"Sistem de supraveghere video 4 camere de exterior 4K, IR 20m, DVR 4 canale Safer KITSAF-4X-8MP28I20"
KITSAF4X-5MP2028UACC,"Kit de supraveghere video, 4 camere 5 MP, IR 20 m, DVR 4 canale, accesorii incluse, Safer, KITSAF4X-5MP2028UACC"
KITSAF4X-5MP80F36-A,"Kit de supraveghere pentru exterior, 4 camere Bullet, 5MP, IR 80m, DVR 4 canale, Functii AI, Safer KITSAF4X-5MP80F36-A"
KIT4FHDEXT10A-HIK-1,"Kit supraveghere FULL HD, 4 camere cu microfon, lentila 2.8mm, IR 30 M, Hikvision"
KITSAF4X-PRO-5MP8036HDD,"Kit de supraveghere video pentru exterior, 4 camere, 2 MP, IR 80 m, Safer, NVR 4 canale, HDD 2 TB, Hikvision, KITSAF4X-PRO-5MP8036HDD"
KITSAF-4X-5MP28I40ACC,"Kit de supraveghere video de exterior, 4 camere 5 MP, IR 40 m, DVR 4 canale, accesorii incluse, Safer, KITSAF-4X-5MP28I40ACC"
SAF-4XFHDIR40ACC-1,"Kit supraveghere video, DVR cu 4 camere bullet, smart IR 40m, Hikvision, SAF-4XFHDIR40ACC"
KITSAF4X-5MP2028UHDDMX,"Kit mixt de supraveghere video, 4 camere 5 MP, IR 20 m, DVR 4 canale, HDD 2 TB, Safer, KITSAF4X-5MP2028UMX"
KIT5MPEXT40-DAH-I2-TW,"Kit video cu 4 camere Safer de exterior 5MP, IR 40m DVR Dahua, accesorii incluse, KIT5MPEXT40-DAH-I2-TW"
KIT-ACC-4CAM-I3,"Kit supraveghere video cu accesorii, DVR cu 4 camera Bullet, smart IR 30m, Dahua KIT-ACC-4CAM-I3"
SAF2MPSAF-P,"Sistem 4 camere exterior IR 80M, lentila 3.6 mm, DVR pentabrid Safer SAF2MPSAF-P"
KIT4EXT20IRDAH,"Kit complet de supraveghere exterior, 4 camere Full HD, infrarosu 20M, lentila 2.8mm, Dahua KIT4EXT20IRDAH"
DH-4I22-1TB-SHQ-TW,"Kit de supraveghere video complet, FULL HD, IR 25 metri, lentila 2.8mm, DAHUA, GATA DE INSTALARE! DH-4I22-1TB-SHQ-TW"
KITDAH2MP80EXTACC,"Kit de supraveghere pentru exterior, 2MP, IR 80m, 4 camere si DVR, DAHUA, KITDAH2MP80EXTACC"
XS-PIR-2E4N1,"Camera de supraveghere ascunsa in senzor PIR, Full HD, HD-CVI/CVBS, 2.8mm, X-Security XS-PIR-2E4N1"
MC301-F4N1,"Mini-camera, ascunsa, 1080p PRO Series, 4 in 1, MC301-F4N1"
MC302-F4N1,"Camera de supraveghere ascunsa de tip pinhole, TVI/CVI/AHD, Full HD, Senzor Sony, MC302-F4N1"
OC-PIR-F4N1,"Camera interior ascunsa in PIR 2MP Sony Starvis 3,7mm 4IN1"
OC-EYEHOLE-F4N1,"Camera de supraveghere ascunsa tip vizor usa, Full HD, lentila de 1.8mm cu  unghi 180°, 4 in 1, OC-EYEHOLE-F4N1"
HARDWIRE-KIT-MINI3,"Kit adaptor pentru alimentarea camerei de bord MINI 3, DDPAI HARDWIRE-KIT-MINI3"
70MAI RC06,Camera spate XIAOMI 70mai Backup Camera RC06
GPS03,"Modul GPS 70mai, Extern, compatibil Midrive-D10, Xiaomi GPS03"
MINI,"Camera auto DVR  DDPAI MINI 1080P, WIFI, G-Senzor, 140 grade"
ATE-CAM-AHD735HD,Camera AHD AUTO ATE-CAM-AHD735HD - 1080p 2.8 mm AUTONE
