SKU,Name,Price,Discount,Price Difference
KIT5KW-3FAZE-HUAWEI380,"Sistem fotovoltaic 5KW, hibrid, trifazat, montaj pe acoperis din tigla, KIT5KW-3FAZE-HUAWEI380",15885.65,15383.16,502.4899999999998
KITIP-4X-2MP2830POEHDD,"Kit de supraveghere IP, 4 camere exterior 2MP, 2.8mm, IR si LED 30 metri si NVR 4 canale, HDD, KITIP-4X-2MP2830POEHDD",1796.99,1294.99,502.0
TFP-1214,"Centrala detectie incendiu adresabila, 4 bucle, 74 zone, 508 dispozitive, TFP-1214",4799.99,4299.0,500.9899999999998
SUPRA MB_24V,Bariera acces auto LIFE 4 metri 24V Supra4,3899.99,3399.0,500.9899999999998
CYCLOPS335,Camera cu termoviziune monocular senzor 12µm 384x288 pixeli lentila 35mm,10999.99,10499.0,500.9899999999998
GVC3200,Sistem videoconferinta VOIP Grandstream GVC3200,13000.0,12500.0,500.0
TM-OUT-WR,Terminal de iesire sistem de parcare cu plata - validare tichet,24999.99,24500.0,499.9900000000016
KIT-VI-HIK-7-P,"Kit videointerfon Hikvision, montaj aplicat, monitor 7 inch, PoE, KIT-VI-HIK-7-P",1733.99,1234.99,499.0
DS-D5032QE,"Monitor supraveghere 31.5″, home office, LED, Full HD, HDMI, VGA, Hikvision DS-D5032QE",1223.99,728.0,495.99
KIT5KW-3FAZE-GR-380,"Sistem de alimentare cu energie solara, 5KW, Trifazat, On-Grid, KIT5KW-3FAZE-GR-380",15331.93,14837.07,494.8600000000006
KITIP-8X-5MP880POE,"Kit de supraveghere IP, 8 camere exterior 5MP, 4mm, IR 80 metri si NVR 8 canale, KITIP-8X-5MP880POE",4476.99,3984.99,492.0
KIT6KW-MONO-GR-455,"Sistem de alimentare cu energie solara, 6KW, Monofazat, On-Grid, KIT6KW-MONO-GR-455",15918.35,15426.76,491.59000000000015
75B4E30T,"Monitor 4K DLED UHD, 75 inci, cu Wi-Fi, intrari 2xHDMI, Hisense 75B4E30T",9989.99,9499.0,490.9899999999998
XS-IPTB202A-7D4W-AI,"Camera IP cu termoviziune, lentila termica de 7mm si normala de 8mm, Detectare foc si temperatura, XS-IPTB202A-7D4W-AI",2799.99,2310.0,489.9899999999998
KITIP-4X-2MP2830POE,"Kit de supraveghere IP, 4 camere exterior 2MP, 2.8mm, IR si LED 30 metri si NVR 4 canale, KITIP-4X-2MP2830POE",1559.99,1071.99,488.0
KITHIK-8X-5MP36IR80,"Sistem de supraveghere 8 camere exterior 5MP 2K, 3.6mm, IR 80m, DVR 8 canale Hikvision KITHIK-8X-5MP36IR80",2067.99,1579.99,487.9999999999998
KITHIK-8X-5MP36IR80,"Sistem de supraveghere 8 camere exterior 5MP 2K, 3.6mm, IR 80m, DVR 8 canale Hikvision KITHIK-8X-5MP36IR80",2067.99,1579.99,487.9999999999998
DS-KD8023-E6,"Post de exterior pentru Videointerfon IP Hikvision cu display color, 2MP Full HD, IR, Mifare, Tastatura DS-KD8023-E6",1620.99,1136.63,484.3599999999999
KIT6KW-3FAZE-HUAWEI455,"Sistem fotovoltaic hibrid 6KW, trifazat, montaj pe acoperis din tigla, KIT6KW-3FAZE-HUAWEI455",18412.27,17931.58,480.6899999999987
KIT-OPEN4000,"Kit bariera acces auto, trafic intens, lungime 4m, King Gates, KIT-OPEN4000",3388.99,2908.99,480.0
KITDAHUA7IN,"Kit videointerfon IP wireless, 2 megapixeli, acces card Mifare, monitor 7 inci, Dahua, KITDAHUA7IN",1621.99,1141.99,480.0
